,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
295,Aaron Finch,1,1,1.1,5,0,0/5,0.0,4.28,0.0,0,0
296,Balachandra Akhil,1,1,1.0,6,0,0/6,0.0,6.0,0.0,0,0
297,Karan Goel,6,1,1.0,7,0,0/7,0.0,7.0,0.0,0,0
298,David Hussey,6,5,10.0,80,0,0/7,0.0,8.0,0.0,0,0
299,Rohan Gavaskar,2,1,1.0,8,0,0/8,0.0,8.0,0.0,0,0
300,Adam Voges,9,7,9.0,76,0,0/5,0.0,8.44,0.0,0,0
301,Stuart Binny,1,1,1.0,9,0,0/9,0.0,9.0,0.0,0,0
302,Virat Kohli,16,4,5.2,50,0,0/1,0.0,9.37,0.0,0,0
303,Morne Morkel,2,2,7.0,66,0,0/32,0.0,9.42,0.0,0,0
304,Kemar Roach,2,2,8.0,80,0,0/32,0.0,10.0,0.0,0,0
305,Faiz Fazal,10,2,2.0,20,0,0/6,0.0,10.0,0.0,0,0
306,Venugopal Rao,6,1,1.0,10,0,0/10,0.0,10.0,0.0,0,0
307,Brett Lee,4,4,14.3,149,0,0/24,0.0,10.27,0.0,0,0
308,Sourav Ganguly,14,3,4.0,43,0,0/12,0.0,10.75,0.0,0,0
309,Abhishek Jhunjhunwala,13,5,6.1,69,0,0/2,0.0,11.18,0.0,0,0
310,Sridharan Sriram,1,1,2.0,24,0,0/24,0.0,12.0,0.0,0,0
311,Tirumalasetti Suman,14,2,2.0,24,0,0/8,0.0,12.0,0.0,0,0
312,Chandrasekar Ganapathy,1,1,1.0,13,0,0/13,0.0,13.0,0.0,0,0
313,Thisara Perera,1,1,1.0,19,0,0/19,0.0,19.0,0.0,0,0
314,Cameron White,7,1,1.0,19,0,0/19,0.0,19.0,0.0,0,0
315,Lasith Malinga,16,16,63.0,375,28,5/13,13.39,5.95,13.5,0,1
316,Munaf Patel,15,15,54.2,358,22,5/21,16.27,6.58,14.81,0,1
317,Sreenath Aravind,13,13,46.0,368,21,4/14,17.52,8.0,13.14,1,0
318,Ravichandran Ashwin,16,16,63.0,388,20,3/16,19.4,6.15,18.9,0,0
319,Amit Mishra,14,14,53.2,358,19,4/9,18.84,6.71,16.84,1,0
320,Doug Bollinger,13,13,47.0,329,17,3/21,19.35,7.0,16.58,0,0
321,Rahul Sharma,14,14,50.0,273,16,3/13,17.06,5.46,18.75,0,0
322,Iqbal Abdulla,15,15,50.0,305,16,3/24,19.06,6.1,18.75,0,0
323,Ryan Harris,13,13,47.0,382,16,3/28,23.87,8.12,17.62,0,0
324,Piyush Chawla,12,12,41.2,336,16,4/17,21.0,8.12,15.5,1,0
325,Albie Morkel,15,14,45.0,382,15,3/29,25.46,8.48,18.0,0,0
326,Dale Steyn,12,12,45.3,299,14,3/16,21.35,6.57,19.5,0,0
327,Harbhajan Singh,15,15,53.0,370,14,5/18,26.42,6.98,22.71,0,1
328,Zaheer Khan,15,15,59.0,455,14,3/32,32.5,7.71,25.28,0,0
329,Yusuf Pathan,15,14,39.0,238,13,3/20,18.3,6.1,18.0,0,0
330,Shane Warne,13,12,47.0,297,13,3/16,22.84,6.31,21.69,0,0
331,RP Singh,14,14,50.0,345,13,4/25,26.53,6.9,23.07,1,0
332,Morne Morkel,11,11,43.0,325,13,3/18,25.0,7.55,19.84,0,0
333,Daniel Vettori,13,13,51.4,311,12,3/19,25.91,6.01,25.83,0,0
334,Vinay Kumar,13,13,44.4,335,12,3/25,27.91,7.5,22.33,0,0
335,Shakib Al Hasan,7,7,25.3,175,11,3/28,15.9,6.86,13.9,0,0
336,Ishant Sharma,12,12,44.0,314,11,5/12,28.54,7.13,24.0,0,1
337,Irfan Pathan,14,13,45.5,344,11,3/28,31.27,7.5,25.0,0,0
338,Dan Christian,14,14,45.4,350,11,2/13,31.81,7.66,24.9,0,0
339,Alfonso Thomas,11,11,38.3,297,11,2/23,27.0,7.71,21.0,0,0
340,Pragyan Ojha,10,10,36.5,267,10,3/26,26.7,7.24,22.1,0,0
341,Praveen Kumar,13,13,46.0,345,10,2/19,34.5,7.5,27.6,0,0
342,Shadab Jakati,15,14,44.1,336,10,2/21,33.6,7.6,26.5,0,0
343,Lakshmipathy Balaji,14,14,44.2,371,10,3/15,37.1,8.36,26.6,0,0
344,Kieron Pollard,16,16,42.3,361,10,2/24,36.1,8.49,25.5,0,0
345,Siddharth Trivedi,12,12,35.4,303,10,3/15,30.3,8.49,21.4,0,0
346,Yuvraj Singh,14,13,29.0,192,9,4/29,21.33,6.62,19.33,1,0
347,Wayne Parnell,8,8,29.2,213,9,3/35,23.66,7.26,19.55,0,0
348,Amit Singh,9,9,28.3,215,9,3/35,23.88,7.54,19.0,0,0
349,Bhargav Bhatt,10,8,27.5,229,9,4/22,25.44,8.22,18.55,1,0
350,Rajat Bhatia,14,12,32.0,210,8,3/22,26.25,6.56,24.0,0,0
351,Chris Gayle,12,12,36.0,244,8,3/21,30.5,6.77,27.0,0,0
352,Ravindra Jadeja,14,14,42.0,305,8,2/25,38.12,7.26,31.5,0,0
353,Ajit Agarkar,7,7,27.0,231,8,2/23,28.87,8.55,20.25,0,0
354,Shalabh Srivastava,6,6,20.0,186,8,2/20,23.25,9.3,15.0,0,0
355,Shanthakumaran Sreesanth,9,9,31.5,206,7,2/10,29.42,6.47,27.28,0,0
356,Johan Botha,10,10,36.0,239,7,3/6,34.14,6.63,30.85,0,0
357,Mitchell Marsh,5,5,14.1,99,7,4/25,14.14,6.98,12.14,1,0
358,Brad Hodge,14,4,11.0,77,7,4/13,11.0,7.0,9.42,1,0
359,Jacques Kallis,15,9,24.0,170,7,2/16,24.28,7.08,20.57,0,0
360,Paul Valthaty,14,9,24.1,189,7,4/29,27.0,7.82,20.71,1,0
361,James Hopes,10,9,32.0,272,7,1/25,38.85,8.5,27.42,0,0
362,Shane Watson,11,10,36.0,241,6,3/19,40.16,6.69,36.0,0,0
363,Suraj Randiv,8,8,29.0,223,6,2/24,37.16,7.68,29.0,0,0
364,Dwayne Bravo,6,6,20.0,157,6,2/21,26.16,7.85,20.0,0,0
365,Jaydev Unadkat,7,6,18.0,150,6,2/25,25.0,8.33,18.0,0,0
366,Shaun Tait,4,4,14.5,127,6,3/22,21.16,8.56,14.83,0,0
367,Roelof van der Merwe,4,4,14.5,92,5,3/20,18.4,6.2,17.8,0,0
368,Dhawal Kulkarni,6,6,20.0,149,5,3/26,29.8,7.45,24.0,0,0
369,Brett Lee,12,12,45.2,338,5,1/12,67.6,7.45,54.4,0,0
370,Charl Langeveldt,3,3,11.0,84,5,2/10,16.8,7.63,13.2,0,0
371,Raiphi Gomez,11,8,15.0,124,5,2/14,24.8,8.26,18.0,0,0
372,Syed Mohammad,5,5,15.0,127,5,2/25,25.4,8.46,18.0,0,0
373,Ashok Dinda,6,5,17.0,152,5,2/42,30.4,8.94,20.4,0,0
374,Abhimanyu Mithun,12,12,34.0,321,5,2/37,64.2,9.44,40.8,0,0
375,Ryan McLaren,6,6,18.0,178,5,2/33,35.6,9.88,21.6,0,0
376,Bipul Sharma,4,4,12.0,78,4,2/32,19.5,6.5,18.0,0,0
377,Suresh Raina,16,12,27.3,201,4,2/0,50.25,7.3,41.25,0,0
378,Shahbaz Nadeem,5,5,19.0,142,4,2/39,35.5,7.47,28.5,0,0
379,Shrikant Wagh,7,7,16.0,121,4,3/16,30.25,7.56,24.0,0,0
380,Jesse Ryder,13,7,15.2,118,4,1/8,29.5,7.69,23.0,0,0
381,JP Duminy,10,8,18.0,143,4,1/3,35.75,7.94,27.0,0,0
382,Tim Southee,5,5,19.0,166,4,1/30,41.5,8.73,28.5,0,0
383,P Parameswaran,5,5,15.4,137,4,2/20,34.25,8.74,23.5,0,0
384,Manpreet Gony,3,3,9.0,85,4,3/31,21.25,9.44,13.5,0,0
385,Ali Murtaza,5,5,20.0,117,3,2/18,39.0,5.85,40.0,0,0
386,Bhuvneshwar Kumar,4,4,11.0,67,3,2/14,22.33,6.09,22.0,0,0
387,Harmeet Singh Bansal,2,2,7.0,53,3,2/27,17.66,7.57,14.0,0,0
388,Aavishkar Salvi,2,2,8.0,66,3,2/40,22.0,8.25,16.0,0,0
389,James Franklin,8,6,10.1,99,3,2/35,33.0,9.73,20.33,0,0
390,Anand Rajan,2,2,5.0,50,3,3/27,16.66,10.0,10.0,0,0
391,Johan van der Wath,3,3,12.0,129,3,2/49,43.0,10.75,24.0,0,0
392,Ryan Ninan,2,2,6.0,65,3,2/31,21.66,10.83,12.0,0,0
393,Varun Aaron,4,3,12.0,82,2,1/20,41.0,6.83,36.0,0,0
394,Muttiah Muralitharan,5,5,19.0,141,2,1/18,70.5,7.42,57.0,0,0
395,Dirk Nannes,2,2,4.0,31,2,1/0,15.5,7.75,12.0,0,0
396,Thisara Perera,4,4,14.0,111,2,1/30,55.5,7.92,42.0,0,0
397,Ashok Menaria,13,9,15.0,121,2,2/20,60.5,8.06,45.0,0,0
398,Virat Kohli,16,10,17.0,139,2,1/8,69.5,8.17,51.0,0,0
399,Ramesh Powar,5,5,12.0,112,2,1/20,56.0,9.33,36.0,0,0
400,Abhishek Nayar,10,6,10.1,95,2,1/22,47.5,9.34,30.5,0,0
401,Umesh Yadav,7,6,18.0,169,2,2/29,84.5,9.38,54.0,0,0
402,James Faulkner,1,1,2.0,9,1,1/9,9.0,4.5,12.0,0,0
403,Shikhar Dhawan,14,2,2.0,11,1,1/7,11.0,5.5,12.0,0,0
404,SS Mundhe,1,1,1.0,6,1,1/6,6.0,6.0,6.0,0,0
405,Murali Kartik,6,6,20.5,166,1,1/27,166.0,7.96,125.0,0,0
406,Nuwan Kulasekara,1,1,3.0,26,1,1/26,26.0,8.66,18.0,0,0
407,Tillakaratne Dilshan,10,6,12.0,108,1,1/30,108.0,9.0,72.0,0,0
408,Andrew Symonds,11,3,4.0,41,1,1/11,41.0,10.25,24.0,0,0
409,Nayan Doshi,3,3,5.2,62,1,1/15,62.0,11.62,32.0,0,0
410,David Hussey,8,2,3.0,38,1,1/19,38.0,12.66,18.0,0,0
411,Yogesh Nagar,11,5,5.0,67,1,1/3,67.0,13.4,30.0,0,0
412,Jacob Oram,2,1,2.0,32,1,1/32,32.0,16.0,12.0,0,0
413,Sachin Rana,2,1,0.4,2,0,0/2,0.0,3.0,0.0,0,0
414,Ankeet Chavan,2,2,5.0,27,0,0/10,0.0,5.4,0.0,0,0
415,Mithun Manhas,10,3,7.0,42,0,0/9,0.0,6.0,0.0,0,0
416,Nathan Rimmington,1,1,3.0,19,0,0/19,0.0,6.33,0.0,0,0
417,Aaron Finch,6,1,2.0,13,0,0/13,0.0,6.5,0.0,0,0
418,Vikramjeet Malik,1,1,2.0,13,0,0/13,0.0,6.5,0.0,0,0
419,Nathan McCullum,2,2,5.0,34,0,0/12,0.0,6.8,0.0,0,0
420,Abhishek Raut,7,2,3.0,21,0,0/8,0.0,7.0,0.0,0,0
421,Ryan ten Doeschate,6,1,1.0,7,0,0/7,0.0,7.0,0.0,0,0
422,Y Gnaneswara Rao,2,1,1.0,7,0,0/7,0.0,7.0,0.0,0,0
423,Ambati Rayudu,16,1,3.0,22,0,0/22,0.0,7.33,0.0,0,0
424,Rajagopal Sathish,9,4,5.1,41,0,0/5,0.0,7.93,0.0,0,0
425,Tirumalasetti Suman,8,3,6.0,50,0,0/12,0.0,8.33,0.0,0,0
426,Asad Pathan,6,2,5.3,49,0,0/19,0.0,8.9,0.0,0,0
427,Dwaraka Ravi Teja,12,1,1.0,9,0,0/9,0.0,9.0,0.0,0,0
428,Abrar Kazi,1,1,2.0,21,0,0/21,0.0,10.5,0.0,0,0
429,Sarabjit Ladda,2,2,4.0,42,0,0/13,0.0,10.5,0.0,0,0
430,Stuart Binny,6,3,4.0,44,0,0/12,0.0,11.0,0.0,0,0
431,Ross Taylor,12,1,1.0,11,0,0/11,0.0,11.0,0.0,0,0
432,Abhishek Jhunjhunwala,3,2,2.0,22,0,0/11,0.0,11.0,0.0,0,0
433,Balachandra Akhil,1,1,2.0,22,0,0/22,0.0,11.0,0.0,0,0
434,Joginder Sharma,1,1,3.0,34,0,0/34,0.0,11.33,0.0,0,0
435,Pankaj Singh,4,1,2.0,23,0,0/23,0.0,11.5,0.0,0,0
436,Manoj Tiwary,15,2,2.0,23,0,0/9,0.0,11.5,0.0,0,0
437,Andrew McDonald,1,1,2.0,23,0,0/23,0.0,11.5,0.0,0,0
438,Scott Styris,2,1,1.0,13,0,0/13,0.0,13.0,0.0,0,0
439,Venugopal Rao,14,2,2.0,26,0,0/12,0.0,13.0,0.0,0,0
440,Love Ablish,1,1,3.0,39,0,0/39,0.0,13.0,0.0,0,0
441,Rohit Sharma,16,3,4.0,53,0,0/14,0.0,13.25,0.0,0,0
442,Kamran Khan,1,1,3.0,47,0,0/47,0.0,15.66,0.0,0,0
443,Padmanabhan Prasanth,1,1,1.0,18,0,0/18,0.0,18.0,0.0,0,0
444,Bharat Chipli,14,1,1.0,20,0,0/20,0.0,20.0,0.0,0,0
445,Ishan Malhotra,1,1,1.0,23,0,0/23,0.0,23.0,0.0,0,0
446,Sridharan Sriram,1,1,1.0,25,0,0/25,0.0,25.0,0.0,0,0
447,Morne Morkel,16,16,63.0,453,25,4/20,18.12,7.19,15.12,1,0
448,Sunil Narine,15,15,59.1,324,24,5/19,13.5,5.47,14.79,1,1
449,Lasith Malinga,14,14,55.3,350,22,4/16,15.9,6.3,15.13,1,0
450,Umesh Yadav,17,17,61.0,453,19,3/19,23.84,7.42,19.26,0,0
451,Vinay Kumar,15,14,55.5,480,19,3/22,25.26,8.59,17.63,0,0
452,Dale Steyn,12,12,46.4,285,18,3/8,15.83,6.1,15.55,0,0
453,Zaheer Khan,16,15,60.0,453,17,3/38,26.64,7.55,21.17,0,0
454,Parvinder Awana,12,12,47.0,372,17,4/34,21.88,7.91,16.58,1,0
455,Piyush Chawla,16,16,57.0,419,16,3/18,26.18,7.35,21.37,0,0
456,Kieron Pollard,14,14,43.5,350,16,4/44,21.87,7.98,16.43,1,0
457,Muttiah Muralitharan,10,10,40.0,260,15,3/21,17.33,6.5,16.0,0,0
458,Jacques Kallis,17,16,54.0,403,15,2/7,26.86,7.46,21.6,0,0
459,Munaf Patel,12,12,46.4,367,15,4/20,24.46,7.86,18.66,2,0
460,Dwayne Bravo,19,18,57.4,461,15,2/10,30.73,7.99,23.06,0,0
461,Ravichandran Ashwin,19,18,65.5,432,14,3/24,30.85,6.56,28.21,0,0
462,Ben Hilfenhaus,9,9,34.0,233,14,3/27,16.64,6.85,14.57,0,0
463,Azhar Mahmood,11,11,42.4,329,14,3/20,23.5,7.71,18.28,0,0
464,Siddharth Trivedi,14,14,52.0,380,13,4/25,29.23,7.3,24.0,1,0
465,Rajat Bhatia,17,16,53.1,389,13,2/14,29.92,7.31,24.53,0,0
466,Albie Morkel,16,15,49.3,385,13,3/29,29.61,7.77,22.84,0,0
467,Amit Mishra,14,14,47.0,377,13,3/32,29.0,8.02,21.69,0,0
468,Shakib Al Hasan,8,8,30.0,195,12,3/17,16.25,6.5,15.0,0,0
469,Ravindra Jadeja,19,14,35.0,273,12,5/16,22.75,7.8,17.5,0,1
470,Lakshmipathy Balaji,8,8,29.5,162,11,4/18,14.72,5.43,16.27,1,0
471,Ashish Nehra,13,13,48.0,402,11,3/23,36.54,8.37,26.18,0,0
472,Brad Hogg,9,9,36.0,253,10,2/31,25.3,7.02,21.6,0,0
473,Kevon Cooper,6,6,24.0,174,10,4/26,17.4,7.25,14.4,1,0
474,RP Singh,11,11,41.0,318,10,3/28,31.8,7.75,24.6,0,0
475,Ashish Reddy,9,8,24.1,205,10,3/25,20.5,8.48,14.5,0,0
476,Veer Pratap Singh,9,9,34.0,296,10,2/31,29.6,8.7,20.4,0,0
477,Amit Singh,9,9,32.5,310,10,2/29,31.0,9.44,19.7,0,0
478,Praveen Kumar,16,16,63.0,434,9,2/15,48.22,6.88,42.0,0,0
479,Ashok Dinda,7,7,24.0,169,9,4/18,18.77,7.04,16.0,1,0
480,Johan Botha,11,11,41.0,297,9,2/21,33.0,7.24,27.33,0,0
481,Pragyan Ojha,9,9,30.0,220,9,2/17,24.44,7.33,20.0,0,0
482,Rahul Sharma,11,11,37.0,300,9,2/16,33.33,8.1,24.66,0,0
483,Shadab Jakati,15,15,41.0,335,9,2/14,37.22,8.17,27.33,0,0
484,Harshal Patel,12,11,41.0,340,9,2/24,37.77,8.29,27.33,0,0
485,Shahbaz Nadeem,12,12,45.0,318,8,3/16,39.75,7.06,33.75,0,0
486,Bhuvneshwar Kumar,11,11,39.0,281,8,2/9,35.12,7.2,29.25,0,0
487,Ryan Harris,5,5,18.0,130,8,4/34,16.25,7.22,13.5,1,0
488,Marlon Samuels,8,8,28.4,216,8,3/39,27.0,7.53,21.5,0,0
489,Irfan Pathan,17,17,60.0,465,8,2/46,58.12,7.75,45.0,0,0
490,Dan Christian,7,7,27.0,233,8,2/26,29.12,8.62,20.25,0,0
491,Doug Bollinger,6,6,18.0,157,8,3/24,19.62,8.72,13.5,0,0
492,Varun Aaron,8,8,31.0,271,8,2/19,33.87,8.74,23.25,0,0
493,Dimitri Mascarenhas,4,4,16.0,105,7,5/25,15.0,6.56,13.71,0,1
494,Pawan Negi,8,6,22.0,152,7,4/18,21.71,6.9,18.85,1,0
495,Angelo Mathews,9,9,26.0,192,7,2/17,27.42,7.38,22.28,0,0
496,Brett Lee,10,10,38.0,299,7,2/26,42.71,7.86,32.57,0,0
497,Pankaj Singh,6,6,21.0,170,7,2/18,24.28,8.09,18.0,0,0
498,Ankeet Chavan,8,8,27.2,236,7,2/23,33.71,8.63,23.42,0,0
499,Shaun Tait,6,6,22.5,151,6,3/13,25.16,6.61,22.83,0,0
500,Shane Watson,7,7,23.0,161,6,2/19,26.83,7.0,23.0,0,0
501,Harbhajan Singh,17,16,54.0,384,6,2/13,64.0,7.11,54.0,0,0
502,Dhawal Kulkarni,2,2,8.0,64,6,3/18,10.66,8.0,8.0,0,0
503,James Franklin,12,9,15.0,121,6,2/18,20.16,8.06,15.0,0,0
504,Harmeet Singh Bansal,7,6,19.2,168,6,3/24,28.0,8.68,19.33,0,0
505,KP Appanna,7,6,17.0,148,6,4/19,24.66,8.7,17.0,1,0
506,Wayne Parnell,6,6,21.0,128,5,2/18,25.6,6.09,25.2,0,0
507,Andrew McDonald,4,3,10.0,61,5,2/25,12.2,6.1,12.0,0,0
508,Ajit Chandila,4,4,14.0,86,5,4/13,17.2,6.14,16.8,1,0
509,Daniel Vettori,9,9,35.0,236,5,1/20,47.2,6.74,42.0,0,0
510,Iqbal Abdulla,9,8,22.0,144,4,1/20,36.0,6.54,33.0,0,0
511,Nuwan Kulasekara,5,4,14.0,94,4,2/10,23.5,6.71,21.0,0,0
512,Ankit Sharma,9,9,24.1,165,4,1/9,41.25,6.82,36.25,0,0
513,Murali Kartik,11,11,36.0,266,4,2/14,66.5,7.38,54.0,0,0
514,David Hussey,16,6,9.0,63,3,2/2,21.0,7.0,18.0,0,0
515,Alfonso Thomas,4,4,14.0,109,3,3/22,36.33,7.78,28.0,0,0
516,Stuart Binny,8,6,10.0,78,3,1/8,26.0,7.8,20.0,0,0
517,Doug Bracewell,1,1,4.0,32,3,3/32,10.66,8.0,8.0,0,0
518,Yusuf Pathan,17,12,22.0,182,3,2/12,60.66,8.27,44.0,0,0
519,Manpreet Gony,6,6,24.0,207,3,1/26,69.0,8.62,48.0,0,0
520,Yo Mahesh,5,4,9.2,81,3,2/21,27.0,8.67,18.66,0,0
521,Robin Peterson,5,4,8.0,70,3,3/37,23.33,8.75,16.0,0,0
522,James Faulkner,2,2,8.0,72,3,2/41,24.0,9.0,16.0,0,0
523,Shikhar Dhawan,15,4,6.0,55,3,1/8,18.33,9.16,12.0,0,0
524,Anand Rajan,4,4,11.5,109,3,1/11,36.33,9.21,23.66,0,0
525,Ajit Agarkar,4,4,14.2,134,3,2/27,44.66,9.34,28.66,0,0
526,Marchant de Lange,3,3,10.0,107,3,3/34,35.66,10.7,20.0,0,0
527,Roelof van der Merwe,3,3,10.0,60,2,2/28,30.0,6.0,30.0,0,0
528,Michael Clarke,6,5,11.0,67,2,1/12,33.5,6.09,33.0,0,0
529,Dwayne Smith,7,6,13.0,95,2,1/8,47.5,7.3,39.0,0,0
530,Suresh Raina,19,7,14.0,105,2,1/5,52.5,7.5,42.0,0,0
531,Bhargav Bhatt,5,5,16.3,136,2,2/24,68.0,8.24,49.5,0,0
532,Juan Theron,2,2,8.0,66,2,2/37,33.0,8.25,24.0,0,0
533,Sourav Ganguly,15,4,10.0,95,2,2/27,47.5,9.5,30.0,0,0
534,Laxmi Ratan Shukla,11,2,2.0,12,1,1/5,12.0,6.0,12.0,0,0
535,Abhishek Jhunjhunwala,5,3,6.0,38,1,1/13,38.0,6.33,36.0,0,0
536,Ashok Menaria,15,3,3.2,23,1,1/3,23.0,6.9,20.0,0,0
537,Glenn Maxwell,2,2,3.0,22,1,1/10,22.0,7.33,18.0,0,0
538,Mandeep Singh,16,1,3.0,23,1,1/23,23.0,7.66,18.0,0,0
539,Ryan ten Doeschate,3,1,3.0,24,1,1/24,24.0,8.0,18.0,0,0
540,Clint McKay,2,2,7.0,60,1,1/36,60.0,8.57,42.0,0,0
541,JP Duminy,9,6,12.0,104,1,1/8,104.0,8.66,72.0,0,0
542,Jesse Ryder,11,4,7.0,70,1,1/25,70.0,10.0,42.0,0,0
543,Andre Russell,4,4,16.0,161,1,1/51,161.0,10.06,96.0,0,0
544,Brad Hodge,12,2,2.0,21,1,1/13,21.0,10.5,12.0,0,0
545,Pradeep Sangwan,1,1,4.0,42,1,1/42,42.0,10.5,24.0,0,0
546,Akshath Reddy,5,1,3.0,32,1,1/32,32.0,10.66,18.0,0,0
547,TP Sudhindra,3,3,11.4,136,1,1/46,136.0,11.65,70.0,0,0
548,Ali Murtaza,1,1,2.0,11,0,0/11,0.0,5.5,0.0,0,0
549,Krishnakant Upadhyay,1,1,4.0,33,0,0/33,0.0,8.25,0.0,0,0
550,Abu Nechim,1,1,2.0,17,0,0/17,0.0,8.5,0.0,0,0
551,Daniel Harris,4,2,3.0,26,0,0/11,0.0,8.66,0.0,0,0
552,Kevin Pietersen,8,3,6.0,53,0,0/16,0.0,8.83,0.0,0,0
553,Cameron White,13,2,3.0,27,0,0/8,0.0,9.0,0.0,0,0
554,Syed Mohammad,2,2,7.0,65,0,0/27,0.0,9.28,0.0,0,0
555,Yogesh Nagar,13,1,1.0,10,0,0/10,0.0,10.0,0.0,0,0
556,Bipul Sharma,5,3,7.4,79,0,0/11,0.0,10.3,0.0,0,0
557,Rahul Shukla,1,1,3.0,31,0,0/31,0.0,10.33,0.0,0,0
558,Jaydev Unadkat,1,1,3.0,32,0,0/32,0.0,10.66,0.0,0,0
559,Ramesh Powar,1,1,3.0,32,0,0/32,0.0,10.66,0.0,0,0
560,Thisara Perera,2,2,2.3,27,0,0/8,0.0,10.8,0.0,0,0
561,Abhimanyu Mithun,1,1,3.0,33,0,0/33,0.0,11.0,0.0,0,0
562,Tillakaratne Dilshan,10,5,7.0,77,0,0/6,0.0,11.0,0.0,0,0
563,Virender Sehwag,16,3,4.0,45,0,0/9,0.0,11.25,0.0,0,0
564,Luke Wright,1,1,2.0,24,0,0/24,0.0,12.0,0.0,0,0
565,Venugopal Rao,10,2,2.0,26,0,0/13,0.0,13.0,0.0,0,0
566,Asad Pathan,2,1,1.0,14,0,0/14,0.0,14.0,0.0,0,0
567,Chris Gayle,15,3,4.4,66,0,0/6,0.0,14.14,0.0,0,0
568,Steve Smith,15,1,0.2,5,0,0/5,0.0,15.0,0.0,0,0
569,Sunny Gupta,1,1,3.0,47,0,0/47,0.0,15.66,0.0,0,0
570,Paul Valthaty,6,1,1.0,16,0,0/16,0.0,16.0,0.0,0,0
571,Faf du Plessis,13,1,1.0,16,0,0/16,0.0,16.0,0.0,0,0
572,Sreenath Aravind,1,1,3.0,48,0,0/48,0.0,16.0,0.0,0,0
573,Rohit Sharma,17,1,1.0,16,0,0/16,0.0,16.0,0.0,0,0
574,Abhishek Nayar,4,1,1.0,16,0,0/16,0.0,16.0,0.0,0,0
575,Virat Kohli,16,2,3.0,49,0,0/13,0.0,16.33,0.0,0,0
576,Raju Bhatkal,1,1,2.0,35,0,0/35,0.0,17.5,0.0,0,0
577,Dwayne Bravo,18,18,62.3,497,32,4/42,15.53,7.95,11.71,1,0
578,James Faulkner,16,16,63.1,427,28,5/16,15.25,6.75,13.53,0,2
579,Harbhajan Singh,19,19,70.0,456,24,3/14,19.0,6.51,17.5,0,0
580,Mitchell Johnson,17,17,64.0,459,24,3/27,19.12,7.17,16.0,0,0
581,Vinay Kumar,16,16,60.1,493,23,3/18,21.43,8.19,15.69,0,0
582,Sunil Narine,16,16,64.0,350,22,4/13,15.9,5.46,17.45,2,0
583,Amit Mishra,17,17,62.0,394,21,4/19,18.76,6.35,17.71,1,0
584,Mohit Sharma,15,15,50.4,326,20,3/10,16.3,6.43,15.2,0,0
585,Lasith Malinga,17,17,65.2,468,20,3/39,23.4,7.16,19.6,0,0
586,Dale Steyn,17,17,67.5,384,19,3/11,20.21,5.66,21.42,0,0
587,Thisara Perera,16,16,59.4,478,19,3/20,25.15,8.01,18.84,0,0
588,Kevon Cooper,14,14,54.0,449,19,3/15,23.63,8.31,17.05,0,0
589,Pragyan Ojha,16,15,52.2,381,16,3/11,23.81,7.28,19.62,0,0
590,Jacques Kallis,16,15,53.0,394,16,3/13,24.62,7.43,19.87,0,0
591,Umesh Yadav,16,16,57.5,508,16,4/24,31.75,8.78,21.68,1,0
592,Ashok Dinda,13,13,49.0,465,16,3/31,29.06,9.48,18.37,0,0
593,Ravichandran Ashwin,18,18,58.0,390,15,2/18,26.0,6.72,23.2,0,0
594,Azhar Mahmood,11,11,43.5,330,15,3/21,22.0,7.52,17.53,0,0
595,Parvinder Awana,14,14,54.0,412,15,3/39,27.46,7.62,21.6,0,0
596,Ishant Sharma,16,16,59.4,466,15,3/27,31.06,7.81,23.86,0,0
597,Chris Morris,16,16,50.0,401,15,3/40,26.73,8.02,20.0,0,0
598,Bhuvneshwar Kumar,16,16,57.0,371,13,3/18,28.53,6.5,26.3,0,0
599,Ravi Rampaul,10,10,37.4,261,13,3/31,20.07,6.92,17.38,0,0
600,Shane Watson,16,13,41.4,298,13,3/22,22.92,7.15,19.23,0,0
601,Ravindra Jadeja,18,15,43.1,323,13,3/20,24.84,7.48,19.92,0,0
602,Jaydev Unadkat,13,13,49.0,370,13,5/25,28.46,7.55,22.61,0,1
603,RP Singh,11,11,39.5,335,13,3/13,25.76,8.41,18.38,0,0
604,Praveen Kumar,15,15,56.2,373,12,2/10,31.08,6.62,28.16,0,0
605,Siddharth Trivedi,17,17,59.5,410,12,3/23,34.16,6.85,29.91,0,0
606,Lakshmipathy Balaji,13,13,50.0,387,12,3/19,32.25,7.74,25.0,0,0
607,Karn Sharma,13,13,34.5,230,11,2/19,20.9,6.6,19.0,0,0
608,Piyush Chawla,16,16,58.2,418,11,2/20,38.0,7.16,31.81,0,0
609,Rajat Bhatia,15,15,43.5,332,11,2/23,30.18,7.57,23.9,0,0
610,Ashish Nehra,10,10,36.0,316,11,2/35,28.72,8.77,19.63,0,0
611,Irfan Pathan,15,15,51.2,382,10,2/29,38.2,7.44,30.8,0,0
612,Kieron Pollard,18,14,31.0,292,10,2/6,29.2,9.41,18.6,0,0
613,Shahbaz Nadeem,12,12,44.0,259,9,2/17,28.77,5.88,29.33,0,0
614,Sachithra Senanayake,8,8,32.0,209,9,2/26,23.22,6.53,21.33,0,0
615,Rahul Sharma,11,11,41.0,281,9,2/16,31.22,6.85,27.33,0,0
616,Murali Kartik,11,11,39.0,284,9,2/24,31.55,7.28,26.0,0,0
